location_id,original_name,latitude,longitude,province,region
5092509,KU faculty of environnment,13.85574,100.570032,Bangkok,Central
5092510,Kasetsart University,13.85574,100.570032,Bangkok,Central
5108494,Magi HQ,13.740456,100.691639,Bangkok,Central
5454936,BTT HQ,13.631563,100.489559,Bangkok,Central
5482624,BTT APW,13.430072,99.955553,Samut Songkhram,Central
5551122,7-eleven,18.944416458815923,98.94308592870685,Chiang Mai,North
5554536,Chalermprakiat Rama IX Park,15.173475,100.132105,Chai Nat,Central
5554537,Chaloem Phrakiat Park Station 80th birthday celebration,15.384667000000002,100.024992,Uthai Thani,Central
5554538,Pattani Provincial Forestry Center,6.890637,101.250888,Pattani,South
5554539,Phatthalung Provincial Stadium,7.6156514,100.0480234,Phatthalung,South
5851170,Baan Kut Ngong,14.680844804221923,101.60590778699802,Nakhon Ratchasima,Northeast
5951902,Air Quality Nexus Center,14.079479,100.612459,Pathum Thani,Central
5955903,Air Quality Nexus Center,14.079479,100.612459,Pathum Thani,Central
5965756,The base hight,18.8029938,99.01666,Chiang Mai,North
6046741,Ceil Condo Outdoor,13.730526919960575,100.58789715633158,Bangkok,Central
6048285,Klin Mai Ram village,13.6882883,100.6288872,Bangkok,Central
6094818,Banpho,14.4919901,100.0750989,Suphan Buri,Central
6099600,Hakuna Matata Villas Phrae,18.306047430369297,100.28064817700623,Phrae,North
6101817,Hana,12.33466,99.979912,Prachuap Khiri Khan,West
6115454,' ',18.923649,98.975744,Chiang Mai,North
6118093,Ban Lad Sombun,17.074733,103.981793,Sakon Nakhon,Northeast
6130741,Sukhumvit101/1,13.682404,100.613816,Bangkok,Central
6144367,Duang Prateep Foundation HQ,13.710670173250579,100.57499367487921,Bangkok,Central
6144405,Baan Makong,13.70559,100.584,Bangkok,Central
6144666,"Lock 1-2-3 (13.7121923, 100.5740800)",13.712219,100.57408,Bangkok,Central
6149445,PHOTHARAM,13.6337,99.83283,Ratchaburi,West
6152097,NongHoi,18.747511275645873,99.0158037871921,Chiang Mai,North
6154187,Britania KhuKhot,13.95102,100.648903,Pathum Thani,Central
6160493,ໂຮງໝໍແຂວງສະຫວັນນະເຂດ Savannakhet Provincial Hospital,16.5504623530255,104.746607785021,Unknown,Unknown
6160761,Suthep,18.785159,98.960696,Chiang Mai,North
6165738,Wat Thong Song Tham Child Development Center,14.420548,100.595312,Phra Nakhon Si Ayutthaya,Central
6167893,Ruean Prathap Station,16.666299,98.657489,Tak,West
6167894,Tha Kham Municipality Office,18.752222,98.927778,Chiang Mai,North
6167895,Tree planting station,16.663994,98.664641,Tak,West
6176026,"iyachart Pattana School, under the royal patronage of Her Royal Highness Princess Maha Chakri Sirindhorn.",14.278780850523706,101.16093815767054,Nakhon Nayok,Central
6191210,hung Thale Luang Station,17.051112,99.806396,Sukhothai,Central
